question_idx,question,question_type,avg_llm_score,avg_exact_match,avg_f1_score,systems_failed,question_short
8,"What publisher is associated with ""Sport and Apartheid South Africa""?",factoid,1.0,0.0,0.0,5,"What publisher is associated with ""Sport and Apartheid South Africa""?"
34,Which organization established Club Rafiki in Kigali in 2022?,factoid,2.0,0.0,0.1173076923076923,4,Which organization established Club Rafiki in Kigali in 2022?
79,List three existing partners of the Basketball Africa League mentioned.,list,2.0,0.0,0.06926406926406924,4,List three existing partners of the Basketball Africa League mentioned.
156,What age group is targeted by the STEM sports curriculum for girls? A) 10 and under B) 12 and under C) 14 and under D) 16 and under,multiple choice,2.2,0.0,0.04444444444444444,4,What age group is targeted by the STEM sports curriculum for girls? A) 10 and under B) 12 and under C) 14 and under D) 16 and under
54,List three teams that have won the BAL championship since its inaugural season in 2021.,list,2.4,0.0,0.06795366795366792,2,List three teams that have won the BAL championship since its inaugural season in 2021.
29,Which NCAA Division I school did Jana El Alfy enroll at?,factoid,2.6,0.0,0.11428571428571428,3,Which NCAA Division I school did Jana El Alfy enroll at?
30,How many sub-zones does FIBA Africa organize its national federations into?,factoid,2.6,0.0,0.0,3,How many sub-zones does FIBA Africa organize its national federations into?
51,Which Egyptian player participated in the NBA Summer League from BAL?,factoid,2.6,0.0,0.10333333333333335,3,Which Egyptian player participated in the NBA Summer League from BAL?
53,In what year was WINGSPAN Scouting founded?,factoid,2.6,0.0,0.11428571428571428,3,In what year was WINGSPAN Scouting founded?
61,"List three key themes mentioned in the key points section of the book ""Sport and Apartheid South Africa"" ..",list,2.6,0.0,0.26264705882352934,2,"List three key themes mentioned in the key points section of the book ""Sport and Apartheid South Africa"" .."
73,List two objectives of FIBA Africa's youth development programs.,list,2.6,0.0,0.10714285714285714,2,List two objectives of FIBA Africa's youth development programs.
83,List four countries included in FIBA Africa Zone 4.,list,2.6,0.0,0.08,3,List four countries included in FIBA Africa Zone 4.
104,List two social impact initiatives mentioned for the Basketball Africa League.,list,2.6,0.0,0.02317512274959082,4,List two social impact initiatives mentioned for the Basketball Africa League.
105,List three former NBA players who attended the BAL scouting combine as prospects.,list,2.6,0.0,0.07272727272727272,3,List three former NBA players who attended the BAL scouting combine as prospects.
108,Which city serves as the headquarters of FIBA Africa? A) Lagos B) Cairo C) Abidjan D) Nairobi,multiple choice,2.6,0.4,0.4,3,Which city serves as the headquarters of FIBA Africa? A) Lagos B) Cairo C) Abidjan D) Nairobi
122,What European competition is highlighted in relation to Gab Gre Lasme's performance? A) Champions League B) EuroLeague Top 16 C) EuroCup D) Basketball Champions League,multiple choice,2.6,0.4,0.42666666666666664,3,What European competition is highlighted in relation to Gab Gre Lasme's performance? A) Champions League B) EuroLeague Top 16 C) EuroCup D) Basketball...
134,How many countries confirmed participation in the 5th Afro Varsity 3x3 Challenge? A) Three B) Five C) Eight D) Fourteen,multiple choice,2.6,0.4,0.4,3,How many countries confirmed participation in the 5th Afro Varsity 3x3 Challenge? A) Three B) Five C) Eight D) Fourteen
136,"Which countries are in FIBA Africa Zone 1? A) Nigeria, Ghana, Togo B) Algeria, Libya, Morocco, Tunisia C) Kenya, Rwanda, Uganda D) Angola, South Africa, Zambia",multiple choice,2.6,0.4,0.4,3,"Which countries are in FIBA Africa Zone 1? A) Nigeria, Ghana, Togo B) Algeria, Libya, Morocco, Tunisia C) Kenya, Rwanda, Uganda D) Angola, South Afric..."
137,Which country won the men's 3x3 basketball gold medal at the 2023 African Games? A) Madagascar B) Egypt C) Algeria D) Nigeria,multiple choice,2.6,0.4,0.4,3,Which country won the men's 3x3 basketball gold medal at the 2023 African Games? A) Madagascar B) Egypt C) Algeria D) Nigeria
142,Which Egyptian club was the first BAL champion in 2021? A) Al Ahly B) Zamalek SC C) Al Ittihad Alexandria D) US Monastir,multiple choice,2.6,0.4,0.4,3,Which Egyptian club was the first BAL champion in 2021? A) Al Ahly B) Zamalek SC C) Al Ittihad Alexandria D) US Monastir
