system_1,system_2,sys1_mean,sys2_mean,difference,t_statistic,p_value,significant_at_0.05,significant_at_0.01
None_gpt4omini,Azure_gpt4omini,3.547169811320755,4.773584905660377,-1.2264150943396226,-8.547051548511003,5.477145721318115e-16,True,True
None_gpt4omini,Local_gpt4omini,3.547169811320755,4.767295597484277,-1.2201257861635222,-8.466139729127965,9.661175376077464e-16,True,True
None_gpt4omini,Azure_flant5,3.547169811320755,2.2641509433962264,1.2830188679245285,6.998601553602508,1.5539512838431185e-11,True,True
None_gpt4omini,Local_flant5,3.547169811320755,2.3333333333333335,1.2138364779874213,6.460880333132262,3.933516698490026e-10,True,True
Azure_gpt4omini,Local_gpt4omini,4.773584905660377,4.767295597484277,0.0062893081761004055,0.07044588902382064,0.9438833280598422,False,False
Azure_gpt4omini,Azure_flant5,4.773584905660377,2.2641509433962264,2.509433962264151,17.396180166520857,5.133185721104768e-48,True,True
Azure_gpt4omini,Local_flant5,4.773584905660377,2.3333333333333335,2.440251572327044,16.26924488200159,1.1702838260588854e-43,True,True
Local_gpt4omini,Azure_flant5,4.767295597484277,2.2641509433962264,2.5031446540880506,17.277702062184616,1.4759825207183702e-47,True,True
Local_gpt4omini,Local_flant5,4.767295597484277,2.3333333333333335,2.4339622641509435,16.1625159700618,3.0205087675608383e-43,True,True
Azure_flant5,Local_flant5,2.2641509433962264,2.3333333333333335,-0.06918238993710712,-0.36709804088432296,0.7137915994616526,False,False
